("Descr_short","Desc_long","Price_offered","fk_status","fk_storage","fk_sales"),
("Abtropfhalter",""," 3.00 ","5","12","4"),
("Teeservice",""," 5.00 ","5","12","4"),
("Küchenreibe",""," 5.00 ","3","12",""),
("Küchenwaage",""," 5.00 ","3","12",""),
("2x Besteckkästen",""," 2.00 ","3","12",""),
("Äppelwoi Bembel ",""," 5.00 ","3","12",""),
("Donald-Schale",""," 2.00 ","3","12",""),
("Avocado Schneider",""," 3.00 ","3","12",""),
("Mini Salatbesteck",""," 2.00 ","3","12",""),
("Schallplattenschale",""," 15.00 ","3","12",""),
("Serviettenhalter",""," 4.00 ","3","12",""),
("Magnifique verre de Martini / verre de cocktail – vert",""," 5.00 ","3","12",""),
("Joli verre coloré – bleu ",""," 4.00 ","3","12",""),
("Thermobecher 1",""," 5.00 ","3","13",""),
("Thermobecher 2",""," 5.00 ","3","13",""),
("3x Aufbewahrungsglas",""," 3.00 ","3","13",""),
("Cocktailmixset",""," 5.00 ","3","13",""),
("Flachmann Gargellen",""," 3.00 ","3","13",""),
("Besteck schwarz",""," 5.00 ","3","13",""),
("Besteck grün",""," 5.00 ","3","13",""),
("KusmiTeeBoxen",""," 5.00 ","3","13",""),
("Metaltasse - GinTonic Becher",""," 5.00 ","3","13",""),
("MiniFondue Set",""," 5.00 ","3","13",""),
("Milchschäumer",""," 3.00 ","3","13",""),
("Multiquick Zubehör",""," 55.00 ","3","14",""),
("Seaux de poubelle noir",""," 3.00 ","3","14"),
("Ampoules IKEA E27"," 6x 600 Lumen 11 W classe énergie A"," 6.00 ","3","14",""),
("Lampe halogène"," variable blanc chaud classe énergie B 37kWh 430 lumens GU5.3"," 5.00 ","3","14",""),
("Butée de porte",""," 2.00 ","3","14",""),
("4x poignées de tiroir rouges IKEA (4 CHF)",""," 4.00 ","3","14",""),
("Outil multifonction","pince (5 CHF)"," 5.00 ","3","14",""),
("Porte-pelle/porte-balai"," 35.5 x 10.5 x 8.5cm (3 CHF)",""," 3.00 ","3","14",""),
("Türwischer Raclette de douche / raclette pour vitres",""," 5.00 ","3","14",""),
("Herzdose",""," 3.00 ","3","15",""),
("Spiegeluntersetzer",""," 5.00 ","3","15",""),
("Bilderrahmen 1","Glas 1"," 2.00 ","3","15",""),
("Bilderrahmen 2","Glas 2"," 2.00 ","3","15",""),
("Bilderrahmen 3","4x Blau"," 10.00 ","3","15",""),
("Bilderrahmen 4","2x Braun"," 5.00 ","3","15",""),
("Bilderrahmen 5","1x rot"," 3.00 ","3","15",""),
("2x Postkartenhalter einzeln",""," 2.00 ","3","15",""),
("Sternanhänger",""," 4.00 ","3","15",""),
("Kopfmassage",""," 4.00 ","5","15","10"),
("Holzfächer",""," 5.00 ","3","15",""),
("Handtaschenhalter #2",""," 5.00 ","3","15",""),
("Standuhr mit Bilderrahmen",""," 5.00 ","3","15",""),
("Japanischer Sonnenschirm",""," 10.00 ","3","15",""),
("Deko-Essstäbchenset",""," 20.00 ","3","15",""),
("Teelichthalter 1","Leonardo dunkelblau"," 5.00 ","3","15",""),
("Teelichthalter 2","weiss"," 5.00 ","3","15",""),
("Teelichthalter 3","aqua"," 5.00 ","3","15",""),
("Teelichthalter 4","Vögelchen"," 5.00 ","3","15",""),
("Diverse Kerzen",""," 15.00 ","3","15",""),
("Mehrfacher Photo/Postkartenhalter",""," 5.00 ","3","15",""),
("Sahara Wüstenvase",""," 10.00 ","3","15",""),
("Asiatisches rote Türdeko Anhänger",""," 10.00 ","3","15",""),
("Taschentuchuberzug",""," 10.00 ","3","15",""),
("Schieferherz",""," 3.00 ","3","15",""),
("Gelbes Kleeblattuntersetzer",""," 3.00 ","3","15",""),
("Pillendosen",""," 10.00 ","3","16",""),
("Schmuckkästchen 1","beige"," 5.00 ","3","16",""),
("Schmuckkästchen 2","beige"," 5.00 ","3","16",""),
("Schmuckkästchen 3","rot asiatisch"," 7.00 ","3","16",""),
("Schmuckkästchen 4","schwarz aus Samt"," 7.00 ","3","16",""),
("Necessaire 1","blanc"," 5.00 ","3","16",""),
("Necessaire 2","blanc"," 5.00 ","3","16",""),
("Necessaire 3","scharz mit Henkel"," 7.00 ","3","16",""),
("Necessaire 4","schwarz"," einfach"," 4.00 ","3","16",""),
("Necessaire 5","rosa"," mit vielen Taschen"," 10.00 ","3","16",""),
("Täschchen 1","noir avec décoration florale"," 5.00 ","3","16",""),
("Täschchen 2","beige avec décoration florale"," 4.00 ","3","16",""),
("Täschchen 3","blanc avec paillettes"," 4.00 ","3","16",""),
("Täschchen 4","marron orné"," 3.00 ","3","16",""),
("Täschchen 5","gris en feutre pour proteger le portable"," 4.00 ","3","16",""),
("Schmucktäschchen schwarz-weiss",""," 15.00 ","3","16",""),
("Schmuck (Ohrringe Ketten Broschen Uhren)",""," 120.00 ","3","16",""),
("Uhren",""," 5.00 ","3","16",""),
("Wimpernzange",""," 3.00 ","3","16",""),
("Taschenspiegel",""," 3.00 ","3","16",""),
("Maniküre / Pediküre Sets schwarz",""," 5.00 ","3","16",""),
("Maniküre / Pediküre Sets"," elektrisch"," 20.00 ","3","16",""),
("Grill mit Isolierkammer",""," 25.00 ","3","17",""),
("2 x Lichterketten Feder",""," 10.00 ","3","17",""),
("1 x Lichterkette rot",""," 3.00 ","3","17",""),
("Rucksack 1","Escape"," 15.00 ","3","18",""),
("Rucksack 2","Burton"," 10.00 ","3","18",""),
("Rucksack 3","blau"," 15.00 ","3","18",""),
("Rucksack 4","Schwarz-weiss"," 15.00 ","3","18",""),
("Rollo","hellgrün"," 25.00 ","3","19",""),
("Schuhregal (17CHF) Rangement chaussures (17 CHF)",""," 17.00 ","3","19",""),
("Kleiderstange barre extensible jusqu’à 120 cm"," dorée "," 7.00 ","3","19",""),
("Kleine IKEA Standlampe (2 m câble)","hauteur 70cm"," 10.00 ","3","19",""),
("Lampe suspendue avec 5 abats-jour sphérique (45 CHF)",""," 45.00 ","3","19",""),
("IKEA Standlampe 173cm",""," 10.00 ","5","19","9"),
("Garderobe",""," 20.00 ","3","19",""),
("Mystery Rummy",""," 10.00 ","3","20",""),
("Klartext",""," 15.00 ","3","20",""),
("Activity",""," 10.00 ","3","20",""),
("Activity Club-Edition",""," 10.00 ","3","20",""),
("Superpoly Espagne",""," 15.00 ","3","20",""),
("Therapy",""," 15.00 ","3","20",""),
("Memory – Marken des Jahrhunderts",""," 10.00 ","3","20",""),
("Reisespiel Poker",""," 10.00 ","3","20",""),
("Reisespiel Mühle ",""," 10.00 ","3","20",""),
("Reisespiel Schach",""," 10.00 ","3","20",""),
("Kartenspiel 1","Bayern"," 2.00 ","3","20",""),
("Kartenspiel 2","Skat"," 2.00 ","3","20",""),
("Kartenspiel 3","Politikerskat"," 2.00 ","3","20",""),
("Kartenspiel 4","James Bond 1"," 2.00 ","3","20",""),
("Kartenspiel 5","James Bond 2"," 2.00 ","3","20",""),
("Kartenspiel 6","Bayern"," 2.00 ","3","20",""),
("Kartenspiel 7","Phase 10"," 2.00 ","3","20",""),
("Kartenspiel 8","Magic"," 2.00 ","3","20",""),
("Kartenspiel 9","Bridge"," 2.00 ","3","20",""),
("Kartenspiel 10","Skat "," 2.00 ","3","20",""),
("Kartenspiel 11","Sweden"," 2.00 ","3","20",""),
("Kartenspiel 12","Philadelphia"," 2.00 ","3","20",""),
("Denkspiel Holz",""," 5.00 ","3","20",""),
("Minipuzzle Holz",""," 3.00 ","3","20",""),
("Holzpuzzle",""," 3.00 ","3","20",""),
("Geschicklichkeits-Cubes 2x",""," 5.00 ","3","20",""),
("Geschicklichkeits-Square",""," 3.00 ","3","20",""),
("Metall-Knobelei-Box 9x",""," 7.00 ","3","20",""),
("Metall-Knobelei-Box 12x",""," 10.00 ","3","20",""),
("Metall-Knobelei 3x",""," 5.00 ","3","20",""),
("Labyrinth der Meister",""," 7.00 ","3","20",""),
("Doppelt Gemoppelt – Doppelseitiges Puzzle 529 Teile",""," 10.00 ","3","20",""),
("2 Murmeln",""," 2.00 ","3","20",""),
("Gummi-Twist",""," 1.00 ","3","20",""),
("Ente – Gans Kuscheltier",""," 10.00 ","3","20",""),
("Rote Decke",""," 10.00 ","3","21",""),
("Weisse Decke",""," 10.00 ","3","21",""),
("Matratzenschoner 1","140x200cm"," 15.00 ","3","21",""),
("Matratzenschoner 2","80x200 cm"," 10.00 ","1","10",""),
("Überdecke","beige"," 15.00 ","3","21",""),
("Ritzenhoff Glas",""," 45.00 ","3","12",""),
("Wandbild Gusseisern",""," 28.00 ","3","15",""),
("Gummistiefel","Hello Kitty"," 15.00 ","3","17",""),
("4 Trinkgläser",""," 6.00 ","3","12",""),
("Vorhang","rot Tüllstoff"," 10.00 ","3","11",""),
("Blumentopf 1","klein 1"," 5.00 ","3","25",""),
("Blumentopf 2","klein 2"," 5.00 ","3","25",""),
("Blumentopf 3","klein 3"," 5.00 ","3","25",""),
("Blumentopf 4","klein 4"," 5.00 ","3","25",""),
("Blumentopf 5","klein 5"," 5.00 ","3","25",""),
("Blumentopf 6","klein 6"," 5.00 ","3","25",""),
("Blumentopf 7","klein 7"," 5.00 ","3","25",""),
("Blumentopf 8","klein 8"," 5.00 ","3","25",""),
("Blumentopf 9","gross 1"," 10.00 ","3","25",""),
("Blumentopf 10","gross 2"," 10.00 ","3","25",""),
("Blumentopf 11","gross 3"," 10.00 ","3","25",""),
("Blumentopf 12","gross 4"," 10.00 ","3","25",""),
("Blumentopf 13","gross 5"," 10.00 ","3","25",""),
("Blumentopf 14","gross 6"," 10.00 ","3","25",""),
("Blumentopf 15","gross 7"," 10.00 ","3","25",""),
("Blumentopf 16","gross 8"," 10.00 ","3","25",""),
("Blumentopf 17","gross 9"," 10.00 ","3","25",""),
("Blumentopf 18","dunkelblau"," 20.00 ","3","25",""),
("Giesskanne","gross rosa vintage"," 15.00 ","3","25",""),
("Handyhülle","iphone 8 mit Kartenfach"," 10.00 ","3","",""),
("USB Feuerzeug",""," 3.00 ","3","",""),
("Glasuntersetzer 1","Spanien"," 5.00 ","3","",""),
("Glasuntersetzer 2","weiss"," 1.00 ","3","",""),
("Braun Silk Epil",""," 33.00 ","3","9",""),
("Bettrolle","mit 2 Bezügen"," 20.00 ","3","26",""),
("Schaumstoffmatratze",""," 15.00 ","3","19",""),
("Elephant",""," 15.00 ","3","26",""),
("Merveilleux lustre avec trois ampoules (33 CHF)",""," 33.00 ","5","26","11"),
("Handtaschenhalter",""," 10.00 ","3","23",""),
("Aigner Handtasche",""," 100.00 ","3","23",""),
("Geldbeutel 1","Tods"," 20.00 ","3","23",""),
("Geldbeutel 1","Ralph Lauren"," 20.00 ","3","23",""),
("Laptoptasche 1","mit Henkel"," 15.00 ","4","23","14"),
("Laptoptasche 2","DELL"," 10.00 ","3","23",""),
("Reisetasche Burton",""," 30.00 ","3","23",""),
("Skischuhtasche",""," 10.00 ","3","23",""),
("Korbsessel",""," 25.00 ","5","2","1")
;
